,close,pctChange,StockChange
2016-11-04,18.02,0.025028441410694047,positive
2016-11-05,18.15,0.007214206437291759,neutral
2016-11-06,18.28,0.007162534435261936,neutral
2016-11-07,18.41,0.007111597374179324,neutral
2016-11-08,18.38,-0.0016295491580663457,neutral
2016-11-09,19.13,0.04080522306855272,positive
2016-11-10,18.37,-0.03972817564035536,decrease
2016-11-11,18.55,0.009798584648883946,neutral
2016-11-12,18.746666666666666,0.010601976639712518,neutral
2016-11-13,18.943333333333335,0.01049075391180665,neutral
2016-11-14,19.14,0.010381840577159851,neutral
2016-11-15,18.98,-0.008359456635318674,neutral
2016-11-16,18.63,-0.018440463645943206,decrease
2016-11-17,18.55,-0.004294149221685362,neutral
2016-11-18,18.73,0.009703504043126587,neutral
2016-11-19,18.686666666666667,-0.0023135789286349295,neutral
2016-11-20,18.643333333333334,-0.002318943988583677,neutral
2016-11-21,18.6,-0.0023243339889147396,neutral
2016-11-22,18.63,0.001612903225806317,neutral
2016-11-23,18.22,-0.022007514761137936,decrease
2016-11-24,18.14,-0.004390779363336872,neutral
2016-11-25,18.06,-0.004410143329658278,neutral
2016-11-26,18.14,0.0044296788482836025,neutral
2016-11-27,18.22,0.004410143329658167,neutral
2016-11-28,18.3,0.004390779363337094,neutral
2016-11-29,18.19,-0.006010928961748596,neutral
2016-11-30,18.49,0.016492578339746933,positive
2016-12-01,18.03,-0.02487831260140605,decrease
2016-12-02,17.93,-0.005546311702717799,neutral
2016-12-03,18.03,0.005577244841048712,neutral
2016-12-04,18.13,0.005546311702717466,neutral
2016-12-05,18.23,0.005515719801434171,neutral
2016-12-06,18.23,0.0,neutral
2016-12-07,19.48,0.06856829402084474,positive
2016-12-08,19.64,0.008213552361396204,neutral
2016-12-09,19.65,0.0005091649694499711,neutral
2016-12-10,19.41,-0.012213740458015154,neutral
2016-12-11,19.169999999999998,-0.012364760432766686,neutral
2016-12-12,18.93,-0.012519561815336422,neutral
2016-12-13,19.37,0.023243528790280132,positive
2016-12-14,18.93,-0.02271553949406302,decrease
2016-12-15,18.79,-0.007395668251452769,neutral
2016-12-16,18.63,-0.00851516764236293,neutral
2016-12-17,18.5,-0.006977992485238782,neutral
2016-12-18,18.369999999999997,-0.007027027027027177,neutral
2016-12-19,18.24,-0.007076755579749516,neutral
2016-12-20,17.92,-0.01754385964912264,decrease
2016-12-21,17.08,-0.04687500000000022,decrease
2016-12-22,16.41,-0.03922716627634648,decrease
2016-12-23,16.5,0.005484460694698434,neutral
2016-12-24,16.5275,0.0016666666666667052,neutral
2016-12-25,16.555,0.0016638935108153063,neutral
2016-12-26,16.5825,0.0016611295681063787,neutral
2016-12-27,16.61,0.0016583747927030323,neutral
2016-12-28,16.39,-0.013245033112582738,neutral
2016-12-29,16.39,0.0,neutral
2016-12-30,16.3,-0.005491153142159866,neutral
2016-12-31,16.335,0.0021472392638037796,neutral
2017-01-01,16.37,0.00214263850627483,neutral
2017-01-02,16.405,0.002138057422113704,neutral
2017-01-03,16.44,0.0021334958854009045,neutral
2017-01-04,16.86,0.025547445255474255,positive
2017-01-05,17.09,0.013641755634638209,neutral
2017-01-06,17.17,0.004681100058513854,neutral
2017-01-07,17.28,0.006406523005241693,neutral
2017-01-08,17.39,0.0063657407407407,neutral
2017-01-09,17.5,0.006325474410580734,neutral
2017-01-10,17.37,-0.00742857142857134,neutral
2017-01-11,17.3,-0.004029936672423684,neutral
2017-01-12,17.38,0.0046242774566473965,neutral
2017-01-13,17.25,-0.007479861910241636,neutral
2017-01-14,17.177500000000002,-0.004202898550724532,neutral
2017-01-15,17.105,-0.004220637461796017,neutral
2017-01-16,17.0325,-0.004238526746565441,neutral
2017-01-17,16.96,-0.004256568325260446,neutral
2017-01-18,17.11,0.008844339622641417,neutral
2017-01-19,16.79,-0.018702513150204547,decrease
2017-01-20,16.58,-0.012507444907683185,neutral
2017-01-21,16.59,0.0006031363088059294,neutral
2017-01-22,16.599999999999998,0.0006027727546713546,neutral
2017-01-23,16.61,0.000602409638554402,neutral
2017-01-24,16.52,-0.005418422636965681,neutral
2017-01-25,16.73,0.012711864406779627,neutral
2017-01-26,16.81,0.00478182904961133,neutral
2017-01-27,16.57,-0.014277215942890997,neutral
2017-01-28,16.693333333333335,0.007443170388252041,neutral
2017-01-29,16.816666666666666,0.007388178913737997,neutral
2017-01-30,16.94,0.007333994053518422,neutral
2017-01-31,17.62,0.04014167650531286,positive
2017-02-01,17.24,-0.02156640181611824,decrease
2017-02-02,17.78,0.03132250580046425,positive
2017-02-03,17.61,-0.009561304836895435,neutral
2017-02-04,17.716666666666665,0.006057164489873035,neutral
2017-02-05,17.823333333333334,0.006020696142991611,neutral
2017-02-06,17.93,0.00598466429773703,neutral
2017-02-07,18.26,0.01840490797546024,positive
2017-02-08,18.72,0.025191675794085322,positive
2017-02-09,16.41,-0.12339743589743579,decrease
2017-02-10,15.58,-0.050578915295551474,decrease
2017-02-11,15.656666666666666,0.004920838682070938,neutral
2017-02-12,15.733333333333334,0.00489674260166062,neutral
2017-02-13,15.81,0.004872881355932224,neutral
2017-02-14,16.52,0.044908285895003175,positive
2017-02-15,16.74,0.013317191283293006,neutral
2017-02-16,16.35,-0.023297491039426355,decrease
2017-02-17,16.62,0.016513761467889854,positive
2017-02-18,16.57,-0.0030084235860409203,neutral
2017-02-19,16.520000000000003,-0.003017501508750575,neutral
2017-02-20,16.470000000000002,-0.003026634382566673,neutral
2017-02-21,16.42,-0.0030358227079538835,neutral
2017-02-22,16.08,-0.020706455542022106,decrease
2017-02-23,16.03,-0.003109452736318241,neutral
2017-02-24,15.98,-0.003119151590767366,neutral
2017-02-25,16.006666666666668,0.0016687526074259385,neutral
2017-02-26,16.03333333333333,0.0016659725114533952,neutral
2017-02-27,16.06,0.0016632016632016633,neutral
2017-02-28,15.77,-0.018057285180572813,decrease
2017-03-01,15.79,0.0012682308180087531,neutral
2017-03-02,15.79,0.0,neutral
2017-03-03,15.75,-0.002533248891703588,neutral
2017-03-04,15.686666666666667,-0.0040211640211639255,neutral
2017-03-05,15.623333333333333,-0.004037399065023428,neutral
2017-03-06,15.56,-0.004053765735011705,neutral
2017-03-07,15.18,-0.024421593830334265,decrease
2017-03-08,15.24,0.0039525691699604515,neutral
2017-03-09,15.22,-0.001312335958005173,neutral
2017-03-10,15.12,-0.006570302233902869,neutral
2017-03-11,15.15,0.001984126984126977,neutral
2017-03-12,15.18,0.001980198019801982,neutral
2017-03-13,15.21,0.0019762845849802257,neutral
2017-03-14,15.32,0.007232084155160967,neutral
2017-03-15,15.03,-0.018929503916449097,decrease
2017-03-16,15.19,0.010645375914837052,neutral
2017-03-17,15.08,-0.007241606319947302,neutral
2017-03-18,15.083333333333334,0.0002210433244915766,neutral
2017-03-19,15.086666666666666,0.00022099447513812542,neutral
2017-03-20,15.09,0.00022094564737074052,neutral
2017-03-21,14.54,-0.03644797879390327,decrease
2017-03-22,14.98,0.030261348005502064,positive
2017-03-23,14.93,-0.0033377837116155273,neutral
2017-03-24,15.14,0.01406563965170804,neutral
2017-03-25,15.09,-0.0033025099075297826,neutral
2017-03-26,15.040000000000001,-0.003313452617627499,neutral
2017-03-27,14.99,-0.0033244680851064468,neutral
2017-03-28,14.94,-0.0033355570380253496,neutral
2017-03-29,15.04,0.006693440428380271,neutral
2017-03-30,14.92,-0.007978723404255317,neutral
2017-03-31,14.95,0.002010723860589758,neutral
2017-04-01,14.913333333333332,-0.0024526198439241975,neutral
2017-04-02,14.876666666666667,-0.0024586499776485526,neutral
2017-04-03,14.84,-0.0024647098364328768,neutral
2017-04-04,14.69,-0.010107816711590334,neutral
2017-04-05,14.53,-0.010891763104152519,neutral
2017-04-06,14.39,-0.009635237439779676,neutral
2017-04-07,14.29,-0.006949270326615853,neutral
2017-04-08,14.313333333333333,0.0016328434802892478,neutral
2017-04-09,14.336666666666666,0.0016301816488122345,neutral
2017-04-10,14.36,0.0016275284817484081,neutral
2017-04-11,14.31,-0.0034818941504177747,neutral
2017-04-12,14.42,0.007686932215233977,neutral
2017-04-13,14.3,-0.00832177531206657,neutral
2017-04-14,14.325000000000001,0.0017482517482518833,neutral
2017-04-15,14.350000000000001,0.0017452006980802626,neutral
2017-04-16,14.375,0.0017421602787455193,neutral
2017-04-17,14.4,0.0017391304347826875,neutral
2017-04-18,14.44,0.002777777777777768,neutral
2017-04-19,14.54,0.006925207756232732,neutral
2017-04-20,14.65,0.007565337001375516,neutral
2017-04-21,14.63,-0.0013651877133105117,neutral
2017-04-22,14.656666666666668,0.001822738664843948,neutral
2017-04-23,14.683333333333334,0.0018194223334091486,neutral
2017-04-24,14.71,0.001816118047673232,neutral
2017-04-25,14.66,-0.003399048266485405,neutral
2017-04-26,15.82,0.0791268758526602,positive
2017-04-27,16.61,0.049936788874841875,positive
2017-04-28,16.48,-0.007826610475617057,neutral
2017-04-29,16.833333333333332,0.021440129449838086,positive
2017-04-30,17.186666666666667,0.02099009900990101,positive
2017-05-01,17.54,0.020558572536850228,positive
2017-05-02,18.24,0.039908779931584926,positive
2017-05-03,18.57,0.018092105263157965,positive
2017-05-04,18.48,-0.004846526655896577,neutral
2017-05-05,18.69,0.011363636363636465,neutral
2017-05-06,18.563333333333333,-0.006777242732299071,neutral
2017-05-07,18.436666666666667,-0.006823487161070174,neutral
2017-05-08,18.31,-0.006870367022238422,neutral
2017-05-09,18.37,0.003276897870016615,neutral
2017-05-10,18.54,0.00925421883505706,neutral
2017-05-11,18.39,-0.008090614886731351,neutral
2017-05-12,18.61,0.011963023382272953,neutral
2017-05-13,18.816666666666666,0.011105140605409236,neutral
2017-05-14,19.023333333333333,0.010983170947741483,neutral
2017-05-15,19.23,0.010863851410548575,neutral
2017-05-16,19.49,0.013520540821632787,neutral
2017-05-17,18.28,-0.06208311954848622,decrease
2017-05-18,18.51,0.012582056892779026,neutral
2017-05-19,18.35,-0.008643976229065431,neutral
2017-05-20,18.37666666666667,0.0014532243415077417,neutral
2017-05-21,18.403333333333332,0.0014511155450751545,neutral
2017-05-22,18.43,0.0014490128599891072,neutral
2017-05-23,18.15,-0.015192620727075501,decrease
2017-05-24,17.98,-0.009366391184572942,neutral
2017-05-25,17.95,-0.0016685205784204848,neutral
2017-05-26,18.23,0.01559888579387203,positive
